#TRACK_CODE,#RJ-CODE,#CV_IDS,#TAG_IDS,#SERIES_IDS,#ENG-NAME,#JAP-NAME,#THUMBNAIL,#IMAGES,#AUDIOS,#ADDITIONAL_URLS
19178,RJ276886,"1","1-2-3-4","1","Ripe Woman 12: Another Friend’s Mother","熟れた女12:友だちのお母さん 2人目","1->19178(0)","","2->19178t1",""
100694,RJ01047481,"89","19-92-1-27","42","A story in which the heroine, a bewitching dancing girl, becomes entangled with the main character, who is a powerful figure at the time 〜Like a flower, and like poison〜","妖艶な踊り娘であるヒロインが時の権力者である主人公を籠絡する話 〜それは華のように、そして毒のように〜","4->100694-0.jpg","4->100694-1.jpg","17->100694t1.mp3",""
108472,RJ01141509,"9","48-5-12-38-13","","My girlfriend’s gentle penis bullying ~I’ll make you love me even more~","ゆるふわ彼女のおちんぽイジメ ～浮気性なキミに、私のこともっと好きになってもらうから～","4->108472-0.jpg","4->108472-1.jpg","17->108472t1.mp3",""
59605,RJ372859,"9-14","9-58-62-63-21-12-24-23","3","Audio of the girls in the swimming club having their nipples attacked from both sides and getting into the habit of losing at the climax of defeat","水泳部の女の子達に両サイドから乳首を責められて、敗北絶頂の負け癖をつけられる音声","4->59605-0.jpg","4->59605-1.jpg,4->59605-2.jpg,4->59605-3.jpg,4->59605-4.mp4","17->59605t1.mp3",""
109459,RJ01148113,"3","5-34-69-32-64-14-27","7","A story where a fox maid who is completely positive kisses and pleases a dirty dick♪","早期限定5大特典&40%オフ!全肯定お狐メイドさんがチンカス汚ちんぽにキス媚びご奉仕してくれるお話♪【KU100】","4->109459-0.jpg","4->109459-1.jpg,4->109459-2.jpg,4->109459-3.jpg,4->109459-4.jpg","17->109459t1.mp3,4->109459omake.mp3,4->109459freetalk.mp3",""
109138,RJ01144979,"4","6-99-35-55-81","43","Cheeky Natsuki wants to win against you!! ~Bold boyish super cosplay week♪ Pretending, cheeky, tongue-tied sex♪~","【シリーズ全作に動画追加!!】生意気ナツキはあなたに勝ちたい!! ～強がりボーイッシュの超コスプレ週間♪ なりきり、生意気、ベロチューセックス♪～","4->109138-0.jpg","4->109138-1.jpg,4->109138-2.jpg,4->109138-3.jpg,4->109138-4.jpg,17->109138-5.mp4","17->109138t1.mp3,4->109138t2.mp3,4->109138freetalk.mp3",""
110036,RJ01153011,"90","48-19-76-58-12-45-54","","A well-developed track and field member seduces the teacher, but on the contrary, he is educated♪","【KU100】発育の良い陸上部員は先生を誘惑するが、逆に教育される♪","4->110036-0.jpg","4->110036-0.jpg","4->110036t1.mp3",""
110030,RJ01151411,"91","1-6-83-37-14-12-13-81-11","","A quiet and cool cosplayer’s perverted pussy pose. Hidden exhibitionist JK’s horny lustful gonzo photo session","無口でクールなコスプレイヤーの変態おま〇こポージング。隠れ露出狂JKのムラムラ欲情ハメ撮り撮影会","4->110030-0.jpg","4->110030-1.jpg","17->110030t1.mp3,17->110030omake.mp3",""
109114,RJ01141146,"30-6","5-32-76-6-9-83-33-74-23-75","12","Sniffing Ane, my cool sister-in-law x2 gets excited only for me","【全編ゆるオホ】嗅ぎあね クールな義理姉×2は俺だけに発情する【7日間限定特典つき】","4->109114-0.jpg","4->109114-1.jpg,4->109114-2.jpg,17->109114-3.mp4","17->109114t1.mp3",""
97789,RJ01026647,"51","19-66-37-91-67","44","Netorare Report ～ I made a female brat JK who plays with me and cheats on me understand it in front of me and has sex","寝取られ報告 ～本気な俺を弄んで浮気しまくるメスガキJKにバ先でわからせSEX【最高オホ声】【ハイレゾ&バイノーラル】","4->97789-0.jpg","4->97789-1.webp","17->97789t1.mp3",""
109695,RJ01147257,"3","5-1-9-12-91-13","","The student council president was so serious that he was so interested that he even had sex with her.","真面目すぎる委員長は、世話焼きすぎて性処理までシてくれる【KU100】","4->109695-0.jpg","4->109695-1.jpg","17->109695t1.mp3,4->109695freetalk.mp3",""
109657,RJ01137979,"2","19-66-67-12-92-13-91","45","Intercrural challenge!! Bitch gal high school girl’s intercrural job and ejaculation fight♪","素股チャレンジ!! ビッチギャルJKの素股コキ射精がまん勝負♪","4->109657-0.jpg","4->109657-1.jpg","17->109657t1.mp3",""
103369,RJ420613,"53","19-66-58-12-13-31","45","Intercrural challenge!! A neat (?) and naughty JK’s intercrural job and ejaculation endurance battle♪","素股チャレンジ!! 清楚(?)でえっちなJKの素股コキ射精我慢勝負♪","4->103369-0.jpg","4->103369-1.jpg","17->103369t1.mp3",""
107567,RJ01125607,"55","77-66-6-67-12-13-1","","Wanting a Tsuwamono! Continuous ejaculation XX times by two active high school girl","ツワモノ求ム!現役JKによる連続〇〇回射精チンポ逝き<KU100>","4->107567-0.jpg","4->107567-1.jpg,4->107567-2.jpg","17->107567t1.mp3",""
110666,RJ01154974,"9","1-9-64-20","","Maid’s Pregnancy Behind-the-scenes Service ~Special close-up pregnancy OK creampie service only for customers~","地雷メイドちゃんの妊娠裏サービス～お客様にだけ特別密着妊娠OK中出しサービスを～【フォーリーサウンド】","4->110666-0.jpg","4->110666-1.jpg","17->110666t1.mp3",""
110684,RJ01156548,"6","5-19-69-12-13-11-25-49","","I became the person in charge of the estrous phase of my plump downer cool classmate ~Every day I am asked for my body like a beast~","【ケモノ交尾×発情期JK】むちむちダウナークールなクラスメイトの発情期処理係になった僕～ケモノのように体を求められる毎日～","4->110684-0.jpg","4->110684-1.jpg","17->110684t1.mp3",""
69718,RJ419234,"87-2","5-1-6-9-27-47-58-12-13-21-23","","Of course you should pull it out so you don’t get an erection during class, right?","授業中に勃起しないように抜くのは当然だよね?","4->69718-0.jpg","4->69718-1.jpg","17->69718t1.mp3",""
63125,RJ386396,"14-10-45","5-6-9-23-29","46","Succubus Harem♪ Fantasy edition","さきゅばすは～れむ♪ ファンタジー編","4->63125-0.jpg","4->63125-1.jpg","17->63125t1.mp3",""
102045,RJ01102083,"28","77-5-19-67-59","40","A young gal’s SM reversible sex! ~ S during the day and M at night ~","ギャルなお嬢様のSMリバーシブルえっち!～昼はSで夜はMで～【バイノーラル】","4->102045-0.jpg","4->102045-1.jpg,4->102045-2.jpg","4->102045t1.mp3,4->102045t2.mp3",""
106023,RJ01114470,"32-51-43-52-63-84-92-93-94-82-95-96-97-23-98-99-100-101-102","23-28-59-105-24-22","47","Ascension submission masochist harem","昇天屈従マゾハーレム","4->106023-0.jpg","4->106023-1.jpg","17->106023t1.mp3",""
34178,RJ234821,"30-67-51-103","5-6-23-22","47","Eternal Orgasm in Harem","永遠絶頂ロリータハーレム","4->34178-0.jpg","4->34178-1.jpg,4->34178-2.jpg","17->34178t1.mp3,17->34178t2.mp3",""
110682,RJ01156030,"12","5-77-1-32-6-9-27-71-22-14-23","38","Loli Magical Girl Addicted to Dick and Dirty Dick ♪ Hypnosis Training","早期限定6大特典&過去作40%OFFクーポンつき!ロリ魔法少女チン媚び汚ちんぽ中毒♪催眠調教W【強制純愛ハーレム】CV:兎月りりむ。&兎月りりむ。","4->110682-0.jpg","4->110682-1.jpg,4->110682-2.jpg,4->110682-3.webp,4->110682-4.webp,4->110682-5.jpg,4->110682-6.webp,4->110682-7.jpg","17->110682t1.mp3,4->110682omake.mp3,17->110682freetalk.mp3",""
106388,RJ434802,"104","5-6","48","Icharabu ASMR Vol.5 Ear licking voice","いちゃらぶASMR Vol5 ぐっぽり耳舐めボイス","4->106388-0.jpg","4->106388-1.jpg","17->106388t1.mp3",""
106538,RJ01119187,"105","1-6-36-9-64-20-19-25","","Behind-the-scenes options at the maid cafe ~ No. 1 maid Rin-chan will serve her master’s unparalleled cock until she falls for a female! ~","メイド喫茶の裏オプション～No.1メイド・リンちゃんがメス堕ちするまでご主人様の絶倫チンポにご奉仕させる!～","4->106538-0.jpg","4->106538-1.jpg,4->106538-2.jpg,4->106538-3.jpg","17->106538t1.mp3",""
51040,RJ331663,"40-39","1-6-67-9-20","","Otaku-friendly naughty gal’s","ヲタクに優しいHなギャル’s","4->51040-0.jpg","4->51040-1.jpg","17->51040t1.mp3",""
96972,RJ01044502,"106","66-1-20-106","49","NTR12: Innocent bitch office lady who seduces a junior employee whose wife is pregnant","NTR12:妻が妊娠中の後輩社員を誑かす清純派ビッチOL","4->96972-0.jpg","4->96972-1.jpg","17->96972t1.mp3",""
107613,RJ01131905,"9","49-12-45-54-107-18","","Mankitsu-chu | Having a Blast","【KU100】まんきつちゅう-まんきつ編【ASMR版】","4->107613-0.jpg","4->107613-1.jpg","17->107613t1.mp3","Manga Ver::https://nhdcollection.glitch.me/s2?code=1056966imh"
58174,RJ364408,"51","5-60","41","Female brat J〇 idol forced training","メスガキJ〇アイドルわからせ強制調教","4->58174-0.jpg","4->58174-1.jpg,17->58174-2.mp4","17->58174t1.mp3",""
105494,RJ01116405,"6","82-67","50","Oho voice licking matching ~ gal slut JK’s dick service lewd sex activity ♪","【強気ギャル×媚び売り】オホ声チン媚びマッチング～ギャル痴女JKのおちんぽご奉仕淫乱性活♪","4->105494-0.jpg","4->105494-1.jpg","17->105494t1.mp3",""
110646,RJ01153971,"30","60-64-104-19-56","50","Oho voice dick flattering debt idol ~ former idol JK’s aphrodisiac-soaked dick service maid sex life ♪","【快楽堕ち×媚び売り】オホ声チン媚び借金アイドル～元アイドルJKの媚薬漬けおちんぽご奉仕メイド性活♪","4->110646-0.jpg","4->110646-1.jpg,4->110646-2.jpg,4->110646-3.jpg,4->110646-4.jpg","17->110646t1.mp3",""
109631,RJ01128250,"35","5-6-19-21-77-43","27","The evil fallen saint’s ear licking pleasure hell ~While the timing is controlled, she can’t hold back and ejaculates!~","【逆レイプ】悪堕ち聖女の耳舐め快楽地獄～タイミング管理されながら我慢できずにお漏らし射精! ～【KU100】","4->109631-0.jpg","4->109631-1.jpg","17->109631t1.mp3,4->109631omake.mp3,4->109631freetalk.mp3",""
78684,RJ01047006,"8","19-1-37-58-12-91-55","25","Ohosei Gakuen slut busty cheerleader’s virginity support!Rental man raw sex","おほ声学園ヤリマン巨乳チアガールの童貞応援!貸しマン生ハメ性交【#秒ヌキショート同人】","4->78684-0.jpg","4->78684-1.jpg","4->78684t1.mp3,4->78684omake.mp3",""
80299,RJ01059718,"35","48-1-9-60-37","25","The case of a big-breasted idol becoming a sex worker for her wet pussy ~ The circumstances of a S idol who has a strong sexual desire ~","巨乳アイドルのムレムレおまんこ性処理係になった件〜性欲つよつよドSアイドルのアレ事情〜【#秒ヌキショート同人】","4->80299-0.jpg","4->80299-1.jpg","4->80299t1.mp3,4->80299omake.mp3",""
78348,RJ01040110,"2","19-66-1-58-12-13-67","25","Gal bitch high school girl’s sexual desire processing routine ~ Slut influencer’s lewd sex life ~","ギャルビッチJKの性欲処理ルーティーン〜ヤリマン系インフルエンサーのドスケベ性生活〜【#秒ヌキショート同人】","4->78348-0.jpg","4->78348-1.jpg","4->78348t1.mp3,4->78348omake.mp3",""
63113,RJ385858,"107","5-32-6-82-64-57","51","A story where an idol voice actor is made to serve as a vulgar and flattering maid through hypnosis.","【嘔吐き×耳塞ぎ舐め】催眠でアイドル声優に下品な媚び媚びメイドご奉仕させるお話【CV.蒼乃むすび/KU100】","4->63113-0.jpg","4->63113-1.jpg","17->63113t1.mp3,17->63113omake.mp3,17->63113%E8%80%B3%E5%A1%9E%E3%81%8E%E6%9C%89%E3%82%8A.mp3",""
98792,RJ01072909,"107","22-69-81-77","","Use a hypnosis app to take a girl home and train her as a pet♪","【催眠⇒オナホ】催眠アプリで下校中の少女をお持ち帰りペット調教♪【CV.蒼乃むすび/KU100】","4->98792-0.jpg","4->98792-1.jpg","17->98792t1.mp3",""
112570,RJ01170126,"108","48-1-19-53","","Having sex with my girlfriend’s younger sister, a slutty big-breasted miniskirt JK with a cheeky body, once a week.","彼女の妹の生意気な体のドスケベ爆乳ミニスカJKと週1でヤリまくり「あいつとはできなかったセックスしてもいい?」","4->112570-0.jpg","4->112570-1.jpg","17->112570t1.mp3",""
110678,RJ01155936,"28","5-19-37-108-77","40","A pure healer wants to heal the hero ~ Purification with Oho voice healing ~","清楚ヒーラーは勇者様を癒したい～浄化はオホ声ヒーリングで～【バイノーラル】","4->110678-0.jpg","4->110678-1.jpg","17->110678t1.mp3",""
98922,RJ01080977,"107","77-19-1-12-13-82-56-107-18","52","Yuzuka Nonohara’s secret voice drama","野々原柚花のヒミツのハイシン ボイスドラマ","4->98922-0.jpg","4->98922-1.jpg","4->98922t1.mp3","Manga Ver::https://nhdcollection.glitch.me/s2?code=1190154imh&chapter=last"
110640,RJ01152959,"109","5-49-17-80","","ASMR where a neat and pretty girlfriend makes her look cute~It’s so cute~","【メイクされちゃうASMR】清楚で可憐な彼女にかわいくメイクされちゃうASMR～めちゃくちゃかわいいよぉ～CV:若山詩音【メイク音・水音・ささやき】","4->110640-0.jpg","4->110640-1.jpg,4->110640-2.jpg","17->110640t1.mp3,4->110640omake.mp3",""
36749,RJ307977,"3","5-1-67-12-13","9","I can hear her deep voice next to me, cuckolding her pussy.","隣で聞こえる彼女の深イキオホ声寝取られおまんこ【フォーリーサウンド】","4->36749-0.jpg","4->36749-1.jpg","17->36749t1.mp3,17->36749B.mp3",""
68820,RJ413581,"3","1-95-36-9-20-69-18","9","White furry elf’s fluffy breeding creampie sex","白ケモミミエルフのモフモフ繁殖中出しえっち【フォーリーサウンド】","4->68820-0.jpg","4->68820-1.jpg","17->68820t1.mp3",""
69935,RJ420016,"3","1-36-9-20-29-12-13-18","9","A semen extraction activity that disrupts the public morals of the chairman succubus!","委員長サキュバスの風紀を乱す搾精活動!【フォーリーサウンド】","4->69935-0.jpg","4->69935-1.jpg","17->69935t1.mp3",""
64117,RJ390341,"3","34-1-36-9-27-20","9","Hairdresser’s secret creampie service","美容師彼女の秘密の中出しえちえちサービス【フォーリーサウンド】","4->64117-0.jpg","4->64117-1.jpg","17->64117t1.mp3",""
112524,RJ01164987,"9","1-67-9-12-13-18-66","9","Mankitsu JK2 ~ Whispering all the pranks so that the person next to you won’t hear ~","漫喫JK2～隣の人に聞かれないようにオール囁きイタズラえっち～【フォーリーサウンド】","4->112524-0.jpg","4->112524-1.jpg","17->112524t1.mp3",""
33334,RJ300204,"3","5-19-32-26-17-67-12-13-18-66","9","Mankitsu JK ~ whispering all so the person next to you won’t hear ~","漫喫JK～隣の人に聞かれないようにオール囁き密着えっち～【フォーリーサウンド】","4->33334-0.jpg","","17->33334t1.mp3,17->33334t2.mp3",""
106560,RJ01123037,"3","1-67-9-20-12-13-24","9","A sweet intimate love affair with a junior gal","後輩ギャルとの甘々密着恋愛えっち【フォーリーサウンド】","4->106560-0.jpg","4->106560-1.jpg","17->106560t1.mp3",""
103517,RJ01109428,"3","1-36-9-20-12-13-67","9","Real JK delivery health","リアルJKデリヘル【フォーリーサウンド】","4->103517-0.jpg","4->103517-1.jpg","17->103517t1.mp3",""
112273,RJ01168990,"3","5-33-74-18-21","13","Sister-in-law。2","義理あね。2","4->112273-0.jpg","4->112273-1.jpg","17->112273t1.mp3,4->112273omake.mp3",""
112566,RJ01169631,"3","34-1-36-9-64-18-92","9","Brown maid’s silent processing sex","褐色メイドの無口性処理えっち【フォーリーサウンド】","4->112566-0.jpg","4->112566-1.jpg","17->112566t1.mp3",""
111768,RJ01162234,"3","6-26-9-21","53","Anyone can do it! Practice “More” Easy slow masturbation ~ Make the pleasure leading to ejaculation deeper, longer, and more intense, just like a woman’s orgasm~","誰でも出来る!『実践』“もっと”かんたんスローオナニー～射精に至るまでの快感をより「深く」「長く」「濃く」、まるで女性のオーガズムのように～","4->111768-0.jpg","4->111768-1.jpg,4->111768-2.jpg","17->111768t1.mp3",""
78871,RJ354082,"3","19-6-9-44-21","53","<Practice> Ruin + Squirting Orgasm","【男の!】<実践>ルインド+潮吹きオーガズム","4->78871-0.jpg","4->78871-1.jpg","17->78871t1.mp3,4->78871bonus.mp3",""
109978,RJ01142500,"3","5-1-6-26-9","54","Lick your eardrum. ~Deep ear licking gives a tingling sweet erection and gentle ejaculation~","鼓膜を、舐める。～深奥耳舐めでゾワゾワ甘い勃起と優しい発射～【『深奥部』舐め】","4->109978-0.jpg","4->109978-1.jpg,4->109978-2.jpg","17->109978t1.mp3",""
61252,RJ344361,"15","5-1-36-22","55","A petite and serious apprentice sister is an older, slutty slut. Is it okay for me to listen to your confession in naughty underwear?","小柄で真面目な見習いシスターは耳年増なムッツリスケベ～エッチな下着であなたの懺悔、お聞きしちゃダメですか?～","4->61252-0.jpg","4->61252-1.jpg,4->61252-2.jpg,4->61252-3.jpg,4->61252-4.jpg,4->61252-5.jpg","17->61252t1.mp3,17->61252t2.mp3",""
111556,RJ01133329,"3","48-5-6-26-109","","ASMR MOUTH SOUND ~Ear picking, ear kissing, ear licking, ear breathing, ear chewing~","【大ボリューム5時間】ASMR MOUTH SOUND～耳はむ、耳キス、耳奥舐め、耳吐息、耳咀嚼～","4->111556-0.jpg","","17->111556t1.mp3,17->111556t2.mp3",""
104229,RJ01097743,"23","34-19-33-69","15","Cow mom artificial insemination experience session ~Can you inseed successfully?~","雌牛ママ人工授精体験会 ～上手に種付けできるかな～【オホ声/種付け】","4->104229-0.jpg","4->104229-1.jpg","17->104229t1.mp3",""
111114,RJ01156255,"3","34-1-95-19-51","9","A lewd marriage sex activity with an elf princess. 2nd year ~ More intense marital sexual activity ~","エルフ姫とのどすけべ結婚性活。2年目～より濃厚な結婚性活～【フォーリーサウンド】","4->111114-0.jpg","4->111114-1.jpg","17->111114t1.mp3",""
99928,RJ01087623,"3","34-19-1-9-64-18","9","Summer Maid ~ Seed creampie in the simmering hot maid pussy ~","サマーメイド～とろとろ熱々なメイドおま〇こに種付け中出しを～【フォーリーサウンド】","4->99928-0.jpg","4->99928-1.jpg","17->99928t1.mp3",""
102358,RJ01098402,"2","5-32-23-67-12-13-66","","Two high-caste JK gals and lewd seduction masochist bullying tribute slave fall","クラスのカースト高めなJKギャル2人とドスケベ誘惑マゾいじめ貢ぎ奴隷落ち","4->102358-0.jpg","4->102358-1.jpg","17->102358t1.mp3,17->102358omake.mp3",""
108775,RJ01125180,"45","5-34-54-43-108","27","Goddess Soshin ~If you increase your sexual desire from 0.01% to 1000%, you will be transformed into a lewd slut who will do anything!~","女神操心 ～性欲0.01%→1000%まで増幅させたら、何でも言いなりのドスケベ痴女へ改変堕ち!～【KU100】","4->108775-0.jpg","4->108775-1.jpg","17->108775t1.mp3",""
50701,RJ322947,"3","5-19-1-32-13","56","Virgin-Loving JK Mommy Takes Your V-Card","【KU100】童貞を溺愛するJKママのバブみたっぷり筆おろし♪♪","4->50701-0.jpg","4->50701-1.jpg","17->50701t1.mp3",""
55267,RJ342161,"2","5-19-1-9-20-12-13","10","Secret Menu Creampie Sex with the Sweety Sweet JK Gal at a “Massage Parlor”","【KU100】ご奉仕リフレ頼んだら甘々ギャルJKが来て裏オプ中出しえっち!","4->55267-0.jpg","4->55267-1.jpg","17->55267t1.mp3,4->55267omake.mp3",""
103539,RJ01110728,"43","32-6-9-22-18","57","Job encyclopedia 04 “The job of a stopper” - This is a job to hold back ejaculation ♪","【寸止めオナサポ】お仕事図鑑04「寸止め屋のお仕事」〜射精を我慢させるお仕事です♪〜【デトックス射精】","4->103539-0.jpg","4->103539-1.jpg","17->103539t1.mp3",""
49240,RJ319802,"3","5-19-1-32-6-9-20-12-54-13","8","Thrilling Sex with a Runaway JK at a Net Cafe!? ~Try Not to Get Caught~","【フォーリー作品】ネットカフェで家出JKと密着ドキドキえっち!? 〜お兄さん、隣に音バレないように気をつけて♪〜【KU100収録】","4->49240-0.jpg","4->49240-1.jpg","17->49240t1.mp3,4->49240omake.mp3",""
52796,RJ329545,"3","5-19-32-54-13-12","8","Sex with a soaking wet high school girl taking shelter from the rain♪","【KU100】雨宿りフォーリー/ずぶ濡れ発情JKと雨宿りエッチ♪","4->52796-0.jpg","4->52796-1.jpg","17->52796t1.mp3,4->52796omake.mp3",""
41081,RJ313193,"55","34-1-32-9-37-67-12-13-18-91","8","She’ll Do Anything for Some Cash, But What If We’re Compatible?","【KU100】彼氏持ちの援交ギャルJK ～お金くれれば何でもシテあげるって言ったけどマジで体の相性良すぎ～","4->41081-0.jpg","4->41081-1.jpg","17->41081t1.mp3",""
37776,RJ305855,"9","32-37-12-54-67-91-52-19","58","A Sexy Sleepover With Your Niece","生意気な姪っ子ギャルのお泊りドスケベえっち【KU100/バイノーラル】","4->37776-0.jpg","4->37776-1.jpg","17->37776t1.mp3",""
109421,RJ01144859,"110","1-6-60-14-54-22-18-91","","A selfish female brat who is licking adults, training and insemination sex","大人を舐めてるワガママ放題メスガキ○役にわからせ調教種付けセックス","4->109421-0.jpg","4->109421-1.jpg","17->109421t1.mp3,17->109421omake.mp3",""
99571,RJ01085301,"110","1-6-9-14-22-110","","Seduction by whispering in the ear of the daughter-in-law’s daughter. A lewd JK who wants to be an adult has a sex life where she licks and sucks his dick until it becomes stupid with her mouth and tongue.","嫁の連れ娘の耳元囁き誘惑。大人にしてほしいドスケベJKにお口と舌でち〇ぽがバカになるまで舐めてしゃぶって痴女られる性活","4->99571-0.jpg","4->99571-1.jpg","17->99571t1.mp3,17->99571omake.mp3",""
112488,RJ01154006,"2","19-1-9-14-12-13","","Dirty obligatory naughty life with a downer big-breasted JK","【クール低音】ダウナー爆乳JKとドスケベ義務えっち生活","4->112488-0.jpg","4->112488-1.jpg","17->112488t1.mp3",""
111046,RJ01150167,"3","19-1-6-9-20-14-58-54","","Dirty mating school sex with a big-breasted JK who seems to be weak against pressure","押しに弱そうなボッチ系爆乳委員長JKとドスケベ交尾学校性活","4->111046-0.jpg","4->111046-1.jpg,4->111046-2.jpg,4->111046-3.jpg","17->111046t1.mp3",""
96992,RJ01063674,"111","48-5-1-66-6-52-27-59-58-12-13-41-21-75","","Erotic JK younger sister’s immoral sex ear licking makes her brother instantly fall! Reverse rape and perverted sex forced","エロビッチJK妹の背徳エッチ耳舐め濃厚ベロちゅーで兄即堕!逆レイプド変態エッチ強要","4->96992-0.jpg","17->96992-1.mp4","17->96992t1.mp3,4->96992omake.mp3",""
102340,RJ01095442,"2","1-6-12-13-18","","I found the dirty back of a high school girl with zero likeability, so I tried to threaten her.","好感度0お嬢様JKのドスケベ裏アカ見つけたので脅してみた【KU100ハイレゾバイノーラル】","4->102340-0.jpg","4->102340-1.jpg,4->102340-2.jpg","17->102340t1.mp3",""
103869,RJ01105903,"10","110-37-59-13-104","59","My daughter finds out about her favorite father-in-law’s marriage plans, and she gets horny all the time.","大好きなお義父さんの婚活を知った娘に、四六時中ヤキモチえっちされる。(KU100マイク収録作品)","4->103869-0.jpg","4->103869-1.jpg","17->103869t1.mp3",""
4046,RJ226301,"112","5-32-26-44-33-28","","Sexy older sister’s Tammany support","【新感覚】エッチなお姉さんのタマニーサポート【玉袋オナニー】","4->4046-0.jpg","","17->4046t1.mp3",""
29256,RJ288419,"6-15","5-1-6-9-40","","Sperm is still coming out, right? ~A big-breasted semen milking nurse with a doting constitution~","精子、まだ出ますよね? ～溺愛体質の巨乳搾精ナース～","4->29256-0.jpg","4->29256-1.jpg","17->29256t1.mp3,4->29256omake.mp3",""
61250,RJ344253,"22","5-1-6-9-17-51","60","Newlywed Life ~Sexy Pussy Sounds Just for You~","新妻性活～えっちなおまんこ声はあなただけ～【プレミアムサウンド】","4->61250-0.jpg","4->61250-1.jpg,4->61250-2.jpg","17->61250t1.mp3",""
53500,RJ334327,"113","5-1-6-17-20-51","60","Newlywed Life ~Hitomi~","新妻性活～ひとみ～【プレミアムフォーリー】","4->53500-0.jpg","4->53500-1.jpg,4->53500-2.jpg","17->53500t1.mp3,17->53500omake.mp3",""
58619,RJ362083,"114","5-34-1-6-20-51-17","60","Newlywed Life ~Kinky Sex Love at the Hotel~","新妻性活～ラブホでらぶらぶアブノーマルえっち～【プレミアムフォーリー】","4->58619-0.jpg","4->58619-1.jpg,4->58619-2.jpg","17->58619t1.mp3,4->58619freetalk.mp3,17->58619ASMRver.mp3",""
72701,RJ439902,"115","10-5-1-6-4-20-27","","2 Nights 3 Days Hot Spring Inn Slave Contract “If I serve you for 3 days...you can really cancel my debt, right?”","二泊三日温泉旅館奴隷契約「三日間あなたにご奉仕すれば……本当に、借金を帳消しにして頂けるんですね?」","4->72701-0.jpg","4->72701-1.jpg","17->72701t1.mp3,27->el84_01_%E5%A5%B4%E9%9A%B7%E5%A5%91%E7%B4%84%E5%88%9D%E6%97%A5%E3%80%81%E3%81%8A%E5%87%BA%E8%BF%8E%E3%81%88.wav,27->el84_02_%E3%81%BE%E3%81%9A%E3%81%AF%E6%97%85%E3%81%AE%E7%96%B2%E3%82%8C%E3%82%92%E7%99%92%E3%81%97%E3%81%A6%E3%81%84%E3%81%9F%E3%81%A0%E3%81%8F%E3%81%9F%E3%82%81%E3%81%AB%E3%81%8A%E8%83%8C%E4%B8%AD%E3%82%92%E3%81%8A%E6%B5%81%E3%81%97%E3%81%97%E3%81%BE%E3%81%99.wav,27->el84_03_%E7%A7%81%E3%81%AE%E8%BA%AB%E4%BD%93%E3%82%92%E4%BD%BF%E3%81%A3%E3%81%A6%E3%81%94%E4%B8%BB%E4%BA%BA%E6%A7%98%E3%81%AE%E8%BA%AB%E4%BD%93%E3%82%92%E3%81%8A%E6%B4%97%E3%81%84%E3%81%97%E3%81%BE%E3%81%99.wav,27->el84_04_%E3%81%88%E2%80%A6%E2%80%A6%E8%80%B3%E3%82%92%E3%80%81%E8%88%90%E3%82%81%E3%82%8B%E3%82%93%E3%81%A7%E3%81%99%E3%81%8B%E2%80%A6%E2%80%A6%EF%BC%9F%EF%BC%88%E5%8F%B3%E8%80%B3%EF%BC%89.wav,27->el84_05_%E5%8F%8D%E5%AF%BE%E5%81%B4%E3%81%AE%E8%80%B3%E3%81%AF%E2%80%A6%E2%80%A6%E6%B8%A9%E6%B3%89%E3%81%AB%E3%82%86%E3%81%A3%E3%81%9F%E3%82%8A%E3%81%A8%E6%B5%B8%E3%81%8B%E3%82%8A%E3%81%AA%E3%81%8C%E3%82%89%E3%80%81%E3%81%8A%E6%8E%83%E9%99%A4%E3%81%84%E3%81%9F%E3%81%97%E3%81%BE%E3%81%99%E3%81%AD%EF%BC%88%E5%B7%A6%E8%80%B3%EF%BC%89.wav,27->el84_06_%E5%B9%95%E9%96%93%E3%80%82%E4%B8%80%E6%99%A9%E7%9B%AE%E7%B5%82%E4%BA%86.wav,27->el84_07_%E4%BA%8C%E6%97%A5%E7%9B%AE%E3%80%81%E6%9C%9D%E5%8B%83%E3%81%A1%E3%81%B8%E3%81%AE%E3%81%94%E6%8C%A8%E6%8B%B6.wav,27->el84_08_%E4%B8%80%E4%BA%BA%E3%81%A7%E4%BD%93%E3%82%92%E6%85%B0%E3%82%81%E3%82%8B%E5%85%AC%E9%96%8B%E6%89%8B%E6%B7%AB.wav,28->el84_09_%E7%B4%85%E8%91%89%E5%90%88%E3%82%8F%E3%81%9B%EF%BC%88%E3%83%91%E3%82%A4%E3%82%BA%E3%83%AA%EF%BC%89.m4a,27->el84_10_%E9%AB%98%E3%81%BE%E3%82%8B%E8%88%88%E5%A5%AE%E3%80%81%E3%81%A8%E3%82%81%E3%81%A9%E3%81%AA%E3%81%84%E3%82%AD%E3%82%B9.wav,27->el84_11_%E5%A4%9C%E9%80%9A%E3%81%97%E3%82%BB%E3%83%83%E3%82%AF%E3%82%B9.wav,27->el84_12_%E4%B8%89%E6%97%A5%E7%9B%AE%E3%80%81%E5%A5%B4%E9%9A%B7%E5%A5%91%E7%B4%84%E3%81%AE%E6%BA%80%E4%BA%86%E2%80%A6%E2%80%A6%EF%BC%9F.wav",""
